car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
maruti wagon r stingray,2013,petrol,51081,367499,hyderabad,532,hatchback,manual,vxi,True,hyderabad,telangana,True,ap09,inperson_sale,maruti,wagon r stingray,in_stock,2,343892,,great,2021-04-07T09:37:36.12,True,8536,55125,False,False
hyundai eon,2016,petrol,27775,299699,chennai,1954,hatchback,manual,era plus,True,chennai south,tamil nadu,True,tn07,inperson_sale,hyundai,eon,in_stock,1,293634,355666.0,great,2021-03-08T11:34:03.504,True,6961,44955,False,False
nissan micra active,2016,petrol,63814,404399,bengaluru,1059,hatchback,manual,xv s,True,bengaluru,karnataka,True,ka01,inperson_sale,nissan,micra active,in_stock,1,359000,,great,2021-03-19T12:37:07.042,True,9393,60660,False,False
maruti sx4,2010,petrol,51871,238199,noida,1026,sedan,,zxi at,True,delhi,delhi,True,dl3c,inperson_sale,maruti,sx4,in_stock,1,211716,,good,2021-03-08T06:50:27.878,True,5533,35730,True,False
maruti swift,2015,diesel,80212,397499,new delhi,653,hatchback,manual,vdi abs,True,new delhi,delhi,True,dl5c,inperson_sale,maruti,swift,in_stock,1,397454,500222.0,great,2021-03-06T06:39:29.703,True,9233,59625,False,False
honda city,2008,petrol,117873,235999,new delhi,1244,sedan,manual,s mt petrol,True,delhi,delhi,True,dl4c,inperson_sale,honda,city,in_stock,1,213688,,great,2021-03-01T04:48:05.872,True,5482,35400,True,False
maruti eeco,2020,petrol,17082,417099,hyderabad,2082,suv,manual,5 str with ac plushtr,True,hyderabad,telangana,True,ts07,inperson_sale,maruti,eeco,in_stock,1,420000,509100.0,great,2021-01-29T06:14:47.148,True,9688,62565,False,False
hyundai verna,2007,diesel,154855,216000,bengaluru,103,sedan,manual,vgt crdi sx abs,True,bengaluru,karnataka,False,ka51,online,hyundai,verna,,1,106000,,fair,2019-08-23T06:36:35.408,True,5017,32400,False,False
maruti ciaz,2016,petrol,63301,577799,new delhi,977,sedan,manual,vxi plus,True,gurgaon,haryana,True,hr26,inperson_sale,maruti,ciaz,in_stock,1,545315,,great,2021-03-18T23:33:15.814,True,13421,86670,False,False
maruti swift dzire,2014,diesel,106190,519999,pune,789,sedan,manual,vdi bs iv,False,pune,maharashtra,True,mh14,inperson_sale,maruti,swift dzire,in_stock,1,529025,530525.0,great,2021-03-18T11:33:16.61,True,12078,78000,False,False
renault duster,2013,diesel,109600,413499,ahmedabad,407,suv,manual,85 ps rxl opt,True,gandhi nagar,gujarat,True,gj18,inperson_sale,renault,duster,in_stock,1,340100,,great,2021-04-13T09:34:35.496,True,9605,62025,False,False
maruti alto 800,2019,petrol,14436,345699,ahmedabad,443,hatchback,manual,lxi,True,ahmedabad,gujarat,True,gj01,inperson_sale,maruti,alto 800,in_stock,1,319693,395757.0,great,2021-02-26T05:07:49.426,True,8030,51855,False,False
maruti swift,2012,diesel,62476,317399,noida,693,hatchback,manual,vdi,True,goutam  budd  nagar,uttar pradesh,True,up16,inperson_sale,maruti,swift,in_stock,1,334103,428945.0,great,2021-03-09T17:11:41.356,True,7372,47610,False,False
hyundai verna,2012,petrol,27642,337399,mumbai,12433,sedan,manual,fluidic 1.6 sx vtvt,True,ulhasnagar,maharashtra,True,mh05,inperson_sale,hyundai,verna,in_stock,1,334000,338999.0,great,2020-12-15T12:30:00.9,True,7837,50610,False,False
maruti swift,2015,diesel,82293,393199,new delhi,956,hatchback,manual,vdi abs,True,delhi,delhi,True,dl3c,inperson_sale,maruti,swift,in_stock,2,404165,410665.0,great,2021-03-22T08:36:06.34,True,9133,58980,False,False
